#{"t_start": 1783350907.7420318, "env_id": "CartPole-v1"}
r,l,t
30.0,30,0.592808
20.0,20,0.593488
20.0,20,0.594023
22.0,22,0.594556
26.0,26,0.597705
34.0,34,0.598818
34.0,34,0.59986
13.0,13,0.600213
49.0,49,0.602696
16.0,16,0.603128
22.0,22,0.603704
35.0,35,0.604559
33.0,33,0.606414
17.0,17,0.606855
33.0,33,0.607783
12.0,12,0.608135
17.0,17,0.609686
16.0,16,0.610113
22.0,22,0.61076
30.0,30,0.611544
20.0,20,0.615567
16.0,16,0.616248
62.0,62,0.617821
10.0,10,0.618105
26.0,26,0.619937
16.0,16,0.620481
14.0,14,0.620871
10.0,10,0.621134
11.0,11,0.622429
18.0,18,0.622893
18.0,18,0.623365
20.0,20,0.623878
40.0,40,0.625929
15.0,15,0.626436
13.0,13,0.62679
31.0,31,0.627825
27.0,27,0.629943
9.0,9,0.630225
17.0,17,0.630678
26.0,26,0.631348
22.0,22,0.633566
14.0,14,0.634024
24.0,24,0.634643
8.0,8,0.634915
28.0,28,0.765412
21.0,21,0.769745
13.0,13,0.771914
8.0,8,0.778468
11.0,11,0.781723
18.0,18,0.784562
14.0,14,0.787032
15.0,15,0.789106
11.0,11,0.792361
11.0,11,0.794233
12.0,12,0.796329
19.0,19,0.800164
28.0,28,0.805766
12.0,12,0.807773
9.0,9,0.80895
12.0,12,0.810956
11.0,11,0.814159
9.0,9,0.815776
9.0,9,0.817149
16.0,16,0.819717
11.0,11,0.823067
20.0,20,0.826351
11.0,11,0.828429
14.0,14,0.830561
13.0,13,0.834089
10.0,10,0.835957
13.0,13,0.838005
15.0,15,0.840562
11.0,11,0.843694
11.0,11,0.845137
14.0,14,0.847681
9.0,9,0.849308
15.0,15,0.853263
9.0,9,0.854778
10.0,10,0.856693
10.0,10,0.858185
10.0,10,0.861233
9.0,9,0.862711
9.0,9,0.864132
13.0,13,0.866444
10.0,10,0.869448
9.0,9,0.870897
8.0,8,0.872245
9.0,9,0.873736
12.0,12,0.877145
13.0,13,0.879716
12.0,12,0.881976
13.0,13,0.884202
9.0,9,0.887053
17.0,17,0.889948
12.0,12,0.891984
12.0,12,0.894057
