#{"t_start": 1783351590.113035, "env_id": "CartPole-v1"}
r,l,t
30.0,30,0.79824
20.0,20,0.799281
20.0,20,0.799886
22.0,22,0.800525
26.0,26,0.809356
34.0,34,0.812728
34.0,34,0.813923
13.0,13,0.814261
49.0,49,0.818259
16.0,16,0.818668
22.0,22,0.819177
35.0,35,0.82057
33.0,33,0.823031
17.0,17,0.823463
33.0,33,0.824214
12.0,12,0.82451
17.0,17,0.826018
16.0,16,0.826424
22.0,22,0.826937
30.0,30,0.827783
20.0,20,0.829355
16.0,16,0.829938
62.0,62,0.831708
10.0,10,0.831985
26.0,26,0.833702
16.0,16,0.834088
14.0,14,0.834428
10.0,10,0.834668
11.0,11,0.835984
18.0,18,0.836605
18.0,18,0.837228
20.0,20,0.839306
40.0,40,0.841786
15.0,15,0.842163
13.0,13,0.842478
31.0,31,0.843286
27.0,27,0.844991
9.0,9,0.845232
17.0,17,0.845762
26.0,26,0.846995
22.0,22,0.849555
14.0,14,0.849891
24.0,24,0.85044
8.0,8,0.850634
26.0,26,1.347017
13.0,13,1.348961
14.0,14,1.35133
17.0,17,1.353721
18.0,18,1.357257
31.0,31,1.362288
14.0,14,1.364625
17.0,17,1.36693
13.0,13,1.36995
38.0,38,1.375568
15.0,15,1.377416
14.0,14,1.379851
9.0,9,1.382386
10.0,10,1.384031
22.0,22,1.386813
16.0,16,1.389223
12.0,12,1.392133
44.0,44,1.398607
24.0,24,1.401909
19.0,19,1.40483
20.0,20,1.409377
11.0,11,1.411435
11.0,11,1.412764
28.0,28,1.416744
14.0,14,1.420224
8.0,8,1.421382
31.0,31,1.42568
20.0,20,1.428762
11.0,11,1.431366
11.0,11,1.4331
15.0,15,1.435562
10.0,10,1.436813
13.0,13,1.440303
13.0,13,1.442157
15.0,15,1.444532
12.0,12,1.446234
21.0,21,1.450288
21.0,21,1.453056
22.0,22,1.456307
17.0,17,1.458626
25.0,25,1.463464
22.0,22,1.466851
12.0,12,1.468677
19.0,19,1.471055
40.0,40,1.47822
18.0,18,1.480916
28.0,28,1.484984
35.0,35,1.489878
11.0,11,1.492419
18.0,18,1.495381
11.0,11,1.497222
12.0,12,1.498899
9.0,9,1.501559
23.0,23,1.504946
14.0,14,1.506705
10.0,10,1.50854
18.0,18,1.513291
13.0,13,1.51522
18.0,18,1.518012
18.0,18,1.520408
12.0,12,1.523867
19.0,19,1.526776
19.0,19,1.529594
13.0,13,1.531476
20.0,20,1.535725
33.0,33,1.540823
10.0,10,1.542587
20.0,20,1.545905
24.0,24,1.550893
27.0,27,1.554927
11.0,11,1.556383
11.0,11,1.558046
18.0,18,1.562633
63.0,63,1.57133
19.0,19,1.574506
41.0,41,1.580632
17.0,17,1.584682
18.0,18,1.587147
34.0,34,1.592382
29.0,29,1.596778
11.0,11,1.599937
12.0,12,1.601813
13.0,13,1.603689
15.0,15,1.606096
14.0,14,1.609271
20.0,20,1.612603
15.0,15,1.61572
16.0,16,1.618043
20.0,20,1.622465
20.0,20,1.625519
15.0,15,1.627829
21.0,21,1.631076
10.0,10,1.633913
13.0,13,1.636343
21.0,21,1.640768
32.0,32,1.645725
9.0,9,1.648166
13.0,13,1.649926
21.0,21,1.653323
11.0,11,1.65483
22.0,22,1.659636
29.0,29,1.664488
14.0,14,1.666838
41.0,41,1.672676
14.0,14,1.67573
29.0,29,1.680698
28.0,28,1.68484
10.0,10,1.686104
38.0,38,1.693627
27.0,27,1.697807
37.0,37,1.703337
16.0,16,1.706013
10.0,10,1.708755
16.0,16,1.711213
19.0,19,1.714415
18.0,18,1.717087
17.0,17,1.722298
18.0,18,1.72502
17.0,17,1.727685
25.0,25,1.731761
35.0,35,1.740729
17.0,17,1.744174
8.0,8,1.745805
44.0,44,1.753434
13.0,13,1.756814
17.0,17,1.759979
9.0,9,1.761765
9.0,9,1.763666
14.0,14,1.767194
13.0,13,1.769048
13.0,13,1.771325
20.0,20,1.774706
11.0,11,1.77834
12.0,12,1.780373
16.0,16,1.782871
27.0,27,1.786802
12.0,12,1.790311
18.0,18,1.793368
14.0,14,1.795709
18.0,18,1.798569
10.0,10,1.801148
17.0,17,1.803526
10.0,10,1.805348
22.0,22,1.808734
11.0,11,1.812432
10.0,10,1.814217
14.0,14,1.816058
11.0,11,1.817904
21.0,21,1.823217
11.0,11,1.824944
11.0,11,1.826717
12.0,12,1.828536
23.0,23,1.833078
12.0,12,1.834971
13.0,13,1.837528
12.0,12,1.839502
9.0,9,1.842162
20.0,20,1.845907
15.0,15,1.848578
17.0,17,1.850971
12.0,12,1.854316
13.0,13,1.856477
16.0,16,1.85911
18.0,18,1.862246
11.0,11,1.865073
18.0,18,1.867964
10.0,10,1.869303
19.0,19,1.872644
10.0,10,1.875981
20.0,20,1.879254
14.0,14,1.88117
9.0,9,1.882383
10.0,10,1.885377
29.0,29,1.889715
15.0,15,1.892061
18.0,18,1.89515
10.0,10,1.898627
33.0,33,1.903608
14.0,14,1.906121
10.0,10,1.907745
30.0,30,1.914057
26.0,26,1.917829
11.0,11,1.919574
18.0,18,1.922097
13.0,13,1.925794
14.0,14,1.928943
17.0,17,1.931442
13.0,13,1.933763
14.0,14,1.937012
12.0,12,1.93903
10.0,10,1.940795
10.0,10,1.942314
11.0,11,1.945965
12.0,12,1.947953
12.0,12,1.949786
26.0,26,1.953462
16.0,16,1.95756
13.0,13,1.959935
16.0,16,1.962961
12.0,12,1.964879
26.0,26,1.970007
11.0,11,1.972015
13.0,13,1.973901
11.0,11,1.975765
24.0,24,1.981267
9.0,9,1.982725
15.0,15,1.985051
8.0,8,1.986437
11.0,11,1.989703
11.0,11,1.991062
11.0,11,1.992999
10.0,10,1.994903
10.0,10,1.997578
10.0,10,1.999354
14.0,14,2.001356
16.0,16,2.003737
12.0,12,2.007097
12.0,12,2.009134
11.0,11,2.011285
12.0,12,2.013114
12.0,12,2.016201
14.0,14,2.018021
13.0,13,2.020494
13.0,13,2.022686
11.0,11,2.025898
10.0,10,2.027525
8.0,8,2.028869
15.0,15,2.032178
13.0,13,2.035296
11.0,11,2.037268
12.0,12,2.039346
15.0,15,2.041727
14.0,14,2.045376
16.0,16,2.047807
10.0,10,2.049661
12.0,12,2.05161
18.0,18,2.055782
17.0,17,2.058306
9.0,9,2.060057
8.0,8,2.06152
13.0,13,2.06491
15.0,15,2.06736
13.0,13,2.06929
13.0,13,2.071323
10.0,10,2.074451
18.0,18,2.07708
14.0,14,2.079514
13.0,13,2.081677
10.0,10,2.084352
10.0,10,2.086154
11.0,11,2.088009
17.0,17,2.090691
11.0,11,2.093936
11.0,11,2.095474
9.0,9,2.097178
10.0,10,2.098621
9.0,9,2.101149
11.0,11,2.103078
13.0,13,2.105156
13.0,13,2.107639
12.0,12,2.110623
13.0,13,2.112568
19.0,19,2.115835
10.0,10,2.117172
10.0,10,2.120323
13.0,13,2.122601
12.0,12,2.124569
12.0,12,2.126491
16.0,16,2.131057
10.0,10,2.132376
16.0,16,2.135667
12.0,12,2.137689
11.0,11,2.141069
8.0,8,2.142416
11.0,11,2.144576
10.0,10,2.146129
12.0,12,2.149282
14.0,14,2.151741
14.0,14,2.153828
9.0,9,2.155804
13.0,13,2.158928
12.0,12,2.16087
10.0,10,2.162349
11.0,11,2.164356
11.0,11,2.167516
13.0,13,2.169432
12.0,12,2.171499
10.0,10,2.173412
11.0,11,2.176101
10.0,10,2.178109
9.0,9,2.179594
13.0,13,2.181704
13.0,13,2.185405
10.0,10,2.186868
13.0,13,2.18885
10.0,10,2.19083
11.0,11,2.193949
12.0,12,2.195873
11.0,11,2.197407
10.0,10,2.199265
11.0,11,2.20234
9.0,9,2.203824
9.0,9,2.205363
9.0,9,2.206732
10.0,10,2.209953
9.0,9,2.211434
12.0,12,2.213461
9.0,9,2.214976
12.0,12,2.218191
10.0,10,2.220239
10.0,10,2.221958
13.0,13,2.224325
9.0,9,2.227363
9.0,9,2.228827
9.0,9,2.230215
8.0,8,2.231524
10.0,10,2.234597
13.0,13,2.236613
11.0,11,2.239384
12.0,12,2.241245
9.0,9,2.243791
13.0,13,2.246025
10.0,10,2.247962
12.0,12,2.25001
10.0,10,2.25265
11.0,11,2.254644
10.0,10,2.256591
9.0,9,2.258122
14.0,14,2.261631
11.0,11,2.263546
10.0,10,2.265459
15.0,15,2.267307
10.0,10,2.270518
12.0,12,2.272743
10.0,10,2.274303
15.0,15,2.276921
10.0,10,2.280074
13.0,13,2.282033
10.0,10,2.283567
11.0,11,2.28558
10.0,10,2.288887
10.0,10,2.290357
12.0,12,2.292345
11.0,11,2.294401
10.0,10,2.29694
10.0,10,2.298785
10.0,10,2.300181
8.0,8,2.301616
13.0,13,2.305154
13.0,13,2.306999
15.0,15,2.309496
14.0,14,2.311732
9.0,9,2.314255
12.0,12,2.316087
13.0,13,2.318555
11.0,11,2.320191
11.0,11,2.323392
15.0,15,2.326053
9.0,9,2.327868
11.0,11,2.329785
11.0,11,2.332887
10.0,10,2.33432
11.0,11,2.336202
13.0,13,2.338196
11.0,11,2.341221
10.0,10,2.34329
9.0,9,2.345467
12.0,12,2.347494
9.0,9,2.350096
15.0,15,2.352554
12.0,12,2.354526
10.0,10,2.355835
10.0,10,2.358883
9.0,9,2.36052
9.0,9,2.362034
10.0,10,2.363953
10.0,10,2.36642
13.0,13,2.368558
12.0,12,2.370566
14.0,14,2.373126
18.0,18,2.37703
9.0,9,2.378889
12.0,12,2.380793
10.0,10,2.382199
12.0,12,2.385231
10.0,10,2.387078
12.0,12,2.389026
11.0,11,2.390568
11.0,11,2.393786
16.0,16,2.39638
13.0,13,2.398385
8.0,8,2.399637
11.0,11,2.402654
10.0,10,2.404549
12.0,12,2.406435
13.0,13,2.408514
9.0,9,2.411082
9.0,9,2.412496
11.0,11,2.414392
16.0,16,2.417023
9.0,9,2.419498
23.0,23,2.423242
11.0,11,2.425349
11.0,11,2.427381
15.0,15,2.430879
10.0,10,2.432701
11.0,11,2.434496
13.0,13,2.436559
9.0,9,2.439126
16.0,16,2.441486
9.0,9,2.44284
12.0,12,2.445142
15.0,15,2.449589
13.0,13,2.451729
12.0,12,2.453732
14.0,14,2.45612
13.0,13,2.459328
13.0,13,2.46156
13.0,13,2.464171
10.0,10,2.465607
10.0,10,2.468748
19.0,19,2.471509
17.0,17,2.47463
14.0,14,2.476685
12.0,12,2.479964
10.0,10,2.48183
13.0,13,2.48388
15.0,15,2.486331
14.0,14,2.489459
11.0,11,2.491279
8.0,8,2.492679
10.0,10,2.494392
9.0,9,2.497592
9.0,9,2.499082
14.0,14,2.501143
11.0,11,2.503009
11.0,11,2.506053
12.0,12,2.508022
10.0,10,2.509501
11.0,11,2.511792
11.0,11,2.514903
10.0,10,2.516373
11.0,11,2.518299
10.0,10,2.520275
11.0,11,2.522999
10.0,10,2.524975
13.0,13,2.52719
11.0,11,2.529262
11.0,11,2.532433
9.0,9,2.533876
11.0,11,2.535746
10.0,10,2.537375
9.0,9,2.53991
8.0,8,2.541305
9.0,9,2.543174
14.0,14,2.545346
14.0,14,2.549039
15.0,15,2.551843
9.0,9,2.553683
9.0,9,2.555154
10.0,10,2.557748
9.0,9,2.559613
12.0,12,2.561744
10.0,10,2.563358
9.0,9,2.566044
11.0,11,2.567955
13.0,13,2.570023
11.0,11,2.571933
13.0,13,2.575128
9.0,9,2.577056
10.0,10,2.578452
10.0,10,2.580468
19.0,19,2.584303
11.0,11,2.586203
9.0,9,2.587683
9.0,9,2.589482
10.0,10,2.592089
9.0,9,2.59377
11.0,11,2.595753
12.0,12,2.597828
8.0,8,2.600408
10.0,10,2.602284
10.0,10,2.603869
9.0,9,2.605265
12.0,12,2.608376
10.0,10,2.610374
9.0,9,2.611902
10.0,10,2.613869
9.0,9,2.61655
9.0,9,2.617958
10.0,10,2.619842
14.0,14,2.6219
10.0,10,2.624959
11.0,11,2.626733
10.0,10,2.62887
15.0,15,2.631456
16.0,16,2.635257
11.0,11,2.636711
10.0,10,2.638618
